carrierId,tourId,vehicleId,vehicleTypeId,depot_zone
685623.0,0.0,11.0,2.0,909.0
685624.0,1.0,32.0,2.0,564.0
686779.0,2.0,38.0,2.0,396.0
688995.0,3.0,52.0,2.0,283.0
691608.0,4.0,63.0,2.0,381.0
692707.0,5.0,76.0,2.0,348.0
697596.0,6.0,89.0,2.0,611.0
700400.0,7.0,95.0,2.0,190.0
700913.0,8.0,104.0,2.0,155.0
701322.0,9.0,114.0,2.0,705.0
702993.0,10.0,125.0,2.0,79.0
703000.0,11.0,139.0,2.0,820.0
703003.0,12.0,147.0,2.0,367.0
703004.0,13.0,152.0,2.0,473.0
705033.0,14.0,164.0,2.0,531.0
707089.0,15.0,174.0,2.0,75.0
708788.0,16.0,189.0,2.0,658.0
710272.0,17.0,204.0,2.0,245.0
710275.0,18.0,222.0,2.0,144.0
714655.0,19.0,234.0,2.0,475.0
722617.0,20.0,252.0,2.0,318.0
722620.0,21.0,268.0,2.0,758.0
722621.0,22.0,276.0,2.0,641.0
722626.0,23.0,284.0,2.0,458.0
725620.0,24.0,294.0,2.0,982.0
727548.0,25.0,309.0,2.0,519.0
729886.0,26.0,328.0,2.0,1033.0
730012.0,27.0,340.0,2.0,486.0
732004.0,28.0,349.0,2.0,55.0
732005.0,29.0,364.0,2.0,672.0
732011.0,30.0,375.0,2.0,939.0
732012.0,31.0,381.0,2.0,235.0
732013.0,32.0,394.0,2.0,85.0
732014.0,33.0,404.0,2.0,901.0
732015.0,34.0,421.0,2.0,140.0
732018.0,35.0,434.0,2.0,528.0
732019.0,36.0,443.0,2.0,242.0
732020.0,37.0,452.0,2.0,943.0
732021.0,38.0,464.0,2.0,781.0
732023.0,39.0,478.0,2.0,615.0
732025.0,40.0,493.0,2.0,404.0
732028.0,41.0,506.0,2.0,894.0
732029.0,42.0,513.0,2.0,654.0
732031.0,43.0,530.0,2.0,624.0
732036.0,44.0,542.0,2.0,370.0
732040.0,45.0,559.0,2.0,179.0
732041.0,46.0,572.0,2.0,732.0
732043.0,47.0,582.0,2.0,827.0
732046.0,48.0,594.0,2.0,433.0
739355.0,49.0,603.0,2.0,470.0
739590.0,50.0,615.0,2.0,793.0
739591.0,51.0,630.0,2.0,155.0
739594.0,52.0,639.0,2.0,60.0
739595.0,53.0,659.0,2.0,949.0
740579.0,54.0,666.0,2.0,980.0
740581.0,55.0,682.0,2.0,154.0
740582.0,56.0,691.0,2.0,200.0
740584.0,57.0,708.0,2.0,43.0
740587.0,58.0,714.0,2.0,984.0
740590.0,59.0,726.0,2.0,634.0
740591.0,60.0,737.0,2.0,939.0
740592.0,61.0,747.0,2.0,349.0
740593.0,62.0,765.0,2.0,843.0
740594.0,63.0,777.0,2.0,394.0
740595.0,64.0,781.0,2.0,513.0
740596.0,65.0,792.0,2.0,4.0
740598.0,66.0,804.0,2.0,589.0
740599.0,67.0,812.0,2.0,579.0
744590.0,68.0,825.0,2.0,363.0
744592.0,69.0,837.0,2.0,255.0
744593.0,70.0,845.0,2.0,326.0
744594.0,71.0,855.0,2.0,234.0
744596.0,72.0,868.0,2.0,663.0
744597.0,73.0,874.0,2.0,283.0
744600.0,74.0,890.0,2.0,328.0
744603.0,75.0,898.0,2.0,292.0
744604.0,76.0,909.0,2.0,3.0
744608.0,77.0,920.0,2.0,676.0
744609.0,78.0,929.0,2.0,46.0
744610.0,79.0,943.0,2.0,230.0
744611.0,80.0,952.0,2.0,861.0
744612.0,81.0,965.0,2.0,892.0
744613.0,82.0,979.0,2.0,975.0
744614.0,83.0,999.0,2.0,51.0
744615.0,84.0,1012.0,2.0,651.0
744616.0,85.0,1027.0,2.0,822.0
744617.0,86.0,1039.0,2.0,664.0
749261.0,87.0,1049.0,2.0,167.0
749264.0,88.0,1062.0,2.0,774.0
749265.0,89.0,1069.0,2.0,942.0
749267.0,90.0,1083.0,2.0,500.0
749268.0,91.0,1091.0,2.0,694.0
749269.0,92.0,1103.0,2.0,604.0
749273.0,93.0,1113.0,2.0,1031.0
749274.0,94.0,1126.0,2.0,376.0
751485.0,95.0,1140.0,2.0,599.0
751815.0,96.0,1155.0,2.0,342.0
752087.0,97.0,1170.0,2.0,879.0
752088.0,98.0,1179.0,2.0,462.0
752092.0,99.0,1192.0,2.0,726.0
752093.0,100.0,1201.0,2.0,479.0
752094.0,101.0,1215.0,2.0,588.0
757288.0,102.0,1224.0,2.0,556.0
759450.0,103.0,1236.0,2.0,305.0
761295.0,104.0,1249.0,2.0,814.0
761298.0,105.0,1253.0,2.0,191.0
763665.0,106.0,1269.0,2.0,1034.0
763670.0,107.0,1277.0,2.0,286.0
